ID,Prob1
0, 0.54
1, 0.30
2, 0.65
3, 0.29
4, 0.01
5, 0.21
6, 0.40
7, 0.77
8, 0.75
9, 0.14
10, 0.81
11, 0.07
12, 0.49
13, 0.67
14, 0.27
15, 0.19
16, 0.25
17, 0.34
18, 0.13
19, 0.36
20, 0.47
21, 0.45
22, 0.45
23, 0.39
24, 0.10
25, 0.22
26, 0.36
27, 0.09
28, 0.06
29, 0.76
30, 0.03
31, 0.01
32, 0.38
33, 0.18
34, 0.14
35, 0.50
36, 0.05
37, 0.53
38, 0.52
39, 0.50
40, 0.20
41, 0.09
42, 0.33
43, 0.45
44, 0.54
45, 0.18
46, 0.37
47, 0.67
48, 0.52
49, 0.15
50, 0.81
51, 0.26
52, 0.57
53, 0.18
54, 0.47
55, 0.00
56, 0.70
57, 0.14
58, 0.00
59, 0.21
60, 0.38
61, 0.37
62, 0.24
63, 0.18
64, 0.29
65, 0.16
66, 0.99
67, 0.16
68, 0.34
69, 0.14
70, 0.85
71, 0.82
72, 0.90
73, 0.28
74, 0.06
75, 0.66
76, 0.01
77, 0.92
78, 0.07
79, 0.21
80, 0.28
81, 0.03
82, 0.03
83, 0.02
84, 0.27
85, 0.22
86, 0.56
87, 0.02
88, 0.12
89, 0.70
90, 0.13
91, 0.23
92, 0.24
93, 0.61
94, 0.13
95, 0.16
96, 0.40
97, 0.06
98, 0.12
99, 0.40
100, 0.00
101, 0.51
102, 0.63
103, 0.03
104, 0.31
105, 0.19
106, 0.11
107, 0.32
108, 0.23
109, 0.35
110, 0.38
111, 0.19
112, 0.03
113, 0.40
114, 0.41
115, 0.00
116, 0.21
117, 0.17
118, 0.24
119, 0.15
120, 0.17
121, 0.10
122, 0.81
123, 0.49
124, 0.24
125, 0.54
126, 0.36
127, 0.20
128, 0.40
129, 0.02
130, 0.51
131, 0.53
132, 0.50
133, 0.38
134, 0.05
135, 0.33
136, 0.21
137, 0.00
138, 0.34
139, 0.00
140, 0.05
141, 0.49
142, 0.69
143, 0.10
144, 0.53
145, 0.37
146, 0.23
147, 0.10
148, 0.32
149, 0.94
150, 0.70
151, 0.28
152, 0.72
153, 0.31
154, 0.98
155, 0.22
156, 0.21
157, 0.00
158, 0.12
159, 0.13
160, 0.45
161, 0.00
162, 0.19
163, 0.04
164, 0.13
165, 0.40
166, 0.09
167, 0.36
168, 0.12
169, 0.09
170, 0.03
171, 0.73
172, 0.23
173, 0.53
174, 0.17
175, 0.26
176, 0.09
177, 0.10
178, 0.58
179, 0.08
180, 0.26
181, 0.69
182, 0.36
183, 0.14
184, 0.61
185, 0.50
186, 0.22
187, 0.74
188, 0.18
189, 0.52
190, 0.94
191, 0.07
192, 0.57
193, 0.01
194, 0.15
195, 0.80
196, 0.00
197, 0.14
198, 0.30
199, 0.05
200, 0.10
201, 0.19
202, 0.77
203, 0.12
204, 0.33
205, 0.15
206, 0.11
207, 0.48
208, 0.31
209, 0.59
210, 0.77
211, 0.28
212, 0.95
213, 0.46
214, 0.34
215, 0.15
216, 0.54
217, 0.11
218, 0.25
219, 0.43
220, 0.27
221, 0.18
222, 0.02
223, 0.88
224, 0.63
225, 0.10
226, 0.40
227, 0.67
228, 0.28
229, 0.14
230, 0.11
231, 0.55
232, 0.54
233, 0.05
234, 0.27
235, 0.26
236, 0.16
237, 0.44
238, 0.65
239, 0.61
240, 0.36
241, 0.15
242, 0.22
243, 0.27
244, 0.07
245, 0.07
246, 0.31
247, 0.78
248, 0.50
249, 0.09
250, 0.92
251, 0.37
252, 0.12
253, 0.13
254, 0.21
255, 0.00
256, 0.59
257, 0.02
258, 0.93
259, 0.11
260, 0.86
261, 0.29
262, 0.10
263, 0.09
264, 0.14
265, 0.32
266, 0.00
267, 0.50
268, 0.17
269, 0.22
270, 0.02
271, 0.00
272, 0.29
273, 0.44
274, 0.75
275, 0.31
276, 0.79
277, 0.92
278, 0.54
279, 0.19
280, 0.79
281, 0.02
282, 0.07
283, 0.44
284, 0.00
285, 0.61
286, 0.53
287, 0.15
288, 0.24
289, 0.45
290, 0.06
291, 0.11
292, 0.32
293, 0.35
294, 0.02
295, 0.01
296, 0.42
297, 0.01
298, 0.38
299, 0.61
300, 0.21
301, 0.16
302, 0.33
303, 0.38
304, 0.40
305, 0.51
306, 0.30
307, 0.42
308, 0.04
309, 0.89
310, 0.33
311, 0.35
312, 0.29
313, 0.18
314, 0.64
315, 0.22
316, 0.00
317, 0.75
318, 0.43
319, 0.34
320, 0.32
321, 0.41
322, 0.24
323, 0.54
324, 0.23
325, 0.61
326, 0.40
327, 0.44
328, 0.48
329, 0.21
330, 0.13
331, 0.56
332, 0.62
333, 0.44
334, 0.44
335, 0.06
336, 0.75
337, 0.91
338, 0.33
339, 0.19
340, 0.37
341, 0.15
342, 0.00
343, 0.10
344, 0.29
345, 0.58
346, 0.69
347, 0.00
348, 0.00
349, 0.53
350, 0.17
351, 0.46
352, 0.20
353, 0.55
354, 0.25
355, 0.11
356, 0.09
357, 0.40
358, 0.64
359, 0.19
360, 0.40
361, 0.07
362, 0.39
363, 0.57
364, 0.28
365, 0.73
366, 0.21
367, 0.42
368, 0.34
369, 0.49
370, 0.11
371, 0.34
372, 0.25
373, 0.24
374, 0.64
375, 0.00
376, 0.48
377, 0.06
378, 0.47
379, 0.39
380, 0.41
381, 0.12
382, 0.38
383, 0.68
384, 0.43
385, 0.32
386, 0.19
387, 0.31
388, 0.21
389, 0.40
390, 0.08
391, 0.33
392, 0.58
393, 0.32
394, 0.40
395, 0.79
396, 0.59
397, 0.27
398, 0.42
399, 0.85
400, 0.58
401, 0.37
402, 0.00
403, 0.00
404, 0.65
405, 0.12
406, 0.42
407, 0.00
408, 0.18
409, 0.23
410, 0.05
411, 0.69
412, 0.13
413, 0.12
414, 0.19
415, 0.12
416, 0.51
417, 0.10
418, 0.21
419, 0.80
420, 0.24
421, 0.37
422, 0.36
423, 0.17
424, 0.30
425, 0.37
426, 0.27
427, 0.32
428, 0.26
429, 0.01
430, 0.21
431, 0.69
432, 0.06
433, 0.32
434, 0.40
435, 0.19
436, 0.70
437, 0.63
438, 0.30
439, 0.12
440, 0.47
441, 0.11
442, 0.67
443, 0.28
444, 0.03
445, 0.22
446, 0.48
447, 0.00
448, 0.87
449, 0.50
450, 0.37
451, 0.77
